City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kununurra,-15.77,128.73,13.0,32,12,5.06,AU,1595361333
Buala,-8.14,159.59,26.05,82,99,4.52,SB,1595361333
Kroya,-7.63,109.25,24.83,86,74,2.52,ID,1595361333
Harper,4.38,-7.72,24.53,88,100,4.53,LR,1595361079
Luanda,-8.84,13.23,22.0,83,0,4.1,AO,1595361185
Amapá,1.0,-52.0,26.28,90,92,0.21,BR,1595361334
Salto,-31.38,-57.97,27.0,57,100,4.1,UY,1595361334
Muli,2.92,73.57,28.75,73,95,5.45,MV,1595361080
Dicabisagan,17.08,122.42,26.4,81,89,1.65,PH,1595361231
Coquimbo,-29.95,-71.34,15.0,72,40,5.7,CL,1595361334
Lima,-12.04,-77.03,19.0,68,40,3.1,PE,1595361073
Belmonte,-15.86,-38.88,25.0,57,20,2.6,BR,1595361081
Urmia,37.55,45.08,25.0,36,20,2.1,IR,1595361334
Santiago,-33.46,-70.65,8.0,93,90,1.5,CL,1595361065
Yarensk,62.17,49.09,14.7,83,72,2.23,RU,1595361335
Poyarkovo,49.6,128.68,15.62,66,5,3.82,RU,1595361335
Gizo Government Station,-8.1,156.84,26.88,81,41,8.61,SB,1595361335
Portree,57.41,-6.19,12.78,88,100,2.68,GB,1595361336
Lüderitz,-26.65,15.16,22.0,33,0,3.6,NA,1595361117
Adrar,20.5,-10.07,35.91,22,98,4.05,MR,1595361336
Hobyo,5.35,48.53,25.39,76,90,12.95,SO,1595361336
Bolitoc,15.74,119.88,26.87,77,82,2.55,PH,1595361232
Oistins,13.07,-59.53,32.0,55,40,8.2,BB,1595361337
Kangaatsiaq,68.31,-53.46,8.84,77,100,0.54,GL,1595361337
Alindao,5.03,21.21,20.98,93,61,0.9,CF,1595361083
Great Yarmouth,52.61,1.73,15.56,74,39,0.45,GB,1595361337
Purpe,64.48,76.69,6.67,87,3,5.81,RU,1595361234
Honiara,-9.43,159.95,24.05,78,81,2.06,SB,1595361078
Tymovskoye,50.85,142.66,13.32,95,100,2.15,RU,1595361338
Brae,60.4,-1.35,12.0,81,20,2.1,GB,1595361084
Lorengau,-2.02,147.27,27.37,73,29,2.48,PG,1595361333
Nabire,-3.37,135.48,23.91,87,5,2.07,ID,1595361235
Klyuchi,52.27,79.17,16.7,79,48,4.34,RU,1595361085
Bāglung,28.27,83.59,21.54,77,99,1.02,NP,1595361339
Cairns,-16.92,145.77,20.0,88,90,5.1,AU,1595361256
Massakory,13.0,15.73,29.87,47,97,2.18,TD,1595361340
Laas,46.62,10.7,17.22,82,40,1.0,IT,1595361086
Antalaha,-14.9,50.28,19.6,81,27,4.91,MG,1595361341
Sur,22.57,59.53,29.06,73,100,8.84,OM,1595361341
Areosa,41.72,-8.86,26.11,65,29,1.5,PT,1595361086
Cimitarra,6.31,-73.95,32.8,48,51,1.44,CO,1595361341
Mpika,-11.83,31.45,14.11,58,0,5.23,ZM,1595361267
Kenai,60.55,-151.26,21.0,49,75,2.6,US,1595361152
Seoul,37.57,126.98,24.0,88,90,1.01,KR,1595361116
Bambous Virieux,-20.34,57.76,21.0,60,75,4.6,MU,1595361153
Felanitx,39.47,3.15,29.0,48,0,4.1,ES,1595361342
Buena Vista,43.42,-83.9,25.0,57,40,2.6,US,1595361342
Vilhena,-12.74,-60.15,31.0,33,0,2.6,BR,1595361330
Kalmunai,7.42,81.82,27.34,80,100,4.88,LK,1595361088
Tarakan,3.3,117.63,27.15,76,30,0.58,ID,1595361343
Sakaiminato,35.55,133.23,24.0,88,75,1.0,JP,1595361238
Mizdah,31.45,12.98,23.46,65,0,8.73,LY,1595361088
Wanaka,-44.7,169.15,-0.59,93,15,2.36,NZ,1595361203
Sorong,-0.88,131.25,25.17,87,2,3.4,ID,1595361088
Pinhão,-25.7,-51.66,19.5,67,1,1.52,BR,1595361344
Hammond,41.58,-87.5,25.56,83,40,2.6,US,1595361301
Guerrero Negro,27.98,-114.06,25.42,53,6,6.75,MX,1595361344
Amahai,-3.33,128.92,27.78,93,93,1.34,ID,1595361089
Halifax,44.65,-63.57,30.0,54,40,6.7,CA,1595361087
Muisne,0.6,-80.03,26.0,83,90,4.1,EC,1595361344
Vardø,70.37,31.11,13.0,87,40,2.6,NO,1595361267
Gamba,-2.65,10.0,22.18,88,19,3.69,GA,1595361345
Wollongong,-34.43,150.88,6.11,83,0,0.45,AU,1595361345
Mehamn,71.04,27.85,11.0,93,90,3.07,NO,1595361062
Tessalit,20.2,1.01,35.38,22,60,5.56,ML,1595361240
Poole,50.72,-2.0,19.0,52,30,3.6,GB,1595361090
Verkh-Usugli,52.7,115.17,7.36,82,0,0.06,RU,1595361345
Horki,54.29,30.98,15.01,95,0,3.89,BY,1595361346
Korla,41.76,86.15,23.89,89,43,0.45,CN,1595361087
Mae Hong Son,19.3,97.97,22.35,88,100,0.38,TH,1595361241
Garliava,54.82,23.87,14.0,62,0,3.6,LT,1595361241
Krasnosel'kup,65.7,82.47,8.56,74,97,6.51,RU,1595361241
Rumoi,43.93,141.64,19.38,93,100,1.81,JP,1595361346
Namie,37.48,141.0,22.22,98,58,1.39,JP,1595361346
La Ronge,55.1,-105.28,24.0,57,40,1.5,CA,1595361347
Rocha,-34.48,-54.33,21.69,87,100,1.84,UY,1595361086
Wana,32.3,69.57,23.4,64,0,0.8,PK,1595361242
Plettenberg Bay,-34.05,23.37,16.27,50,0,2.47,ZA,1595361087
Tulun,54.56,100.58,13.34,85,59,1.51,RU,1595361347
Anadyr,64.75,177.48,12.0,71,0,2.0,RU,1595361160
Port Blair,11.67,92.75,27.4,77,100,1.51,IN,1595361070
Grindavik,63.84,-22.43,11.0,62,75,2.1,IS,1595361092
Kota Belud,6.35,116.43,25.0,94,20,2.1,MY,1595361243
Tura,25.52,90.22,23.32,99,100,2.82,IN,1595361348
Cumbum,9.73,77.3,24.85,79,100,1.2,IN,1595361093
Saint-Joseph,-21.37,55.62,18.0,82,75,2.1,RE,1595361093
Nyurba,63.28,118.33,13.31,95,1,1.55,RU,1595361093
Shenjiamen,29.96,122.3,25.64,94,77,7.1,CN,1595361244
Copiapó,-27.37,-70.33,18.0,48,40,7.7,CL,1595361349
Atar,20.52,-13.05,37.99,22,64,3.55,MR,1595361244
Kirkuk,35.47,44.39,28.49,17,0,0.51,IQ,1595361094
Sabang,5.89,95.32,27.98,70,100,1.08,ID,1595361349
Kingston,18.0,-76.79,32.0,59,20,11.8,JM,1595361118
Cayenne,4.93,-52.33,30.0,66,58,6.7,GF,1595361349
Grande Prairie,55.17,-118.8,22.0,53,75,5.1,CA,1595361264
Port-Gentil,-0.72,8.78,24.0,88,20,5.48,GA,1595361065
Morro Bay,35.37,-120.85,30.56,26,45,0.89,US,1595361240
Praia,14.92,-23.51,29.0,62,16,4.6,CV,1595361233
Saint-André-les-Vergers,48.29,4.05,24.0,31,11,3.6,FR,1595361350
Daşoguz,41.84,59.97,29.0,39,17,2.1,TM,1595361350
Nelson Bay,-32.72,152.15,8.33,100,10,2.6,AU,1595361096
Dandong,40.13,124.39,18.82,79,82,1.45,CN,1595361247
Shagonar,51.53,92.8,17.18,86,100,0.44,RU,1595361096
San Policarpo,12.18,125.51,27.26,79,100,2.39,PH,1595361096
Kobryn,52.21,24.36,14.23,82,0,3.1,BY,1595361097
Saint Anthony,45.02,-93.22,27.22,69,40,2.1,US,1595361351
Broken Hill,-31.95,141.43,2.0,93,100,3.1,AU,1595361136
Hofn,64.25,-15.21,11.6,77,100,6.76,IS,1595361150
Progreso,21.28,-89.67,34.44,52,75,5.26,MX,1595361248
Raudeberg,61.99,5.14,12.0,71,40,4.6,NO,1595361352
Okha,53.57,142.95,10.96,89,100,5.63,RU,1595361248
Mahuva,21.09,71.76,28.67,79,97,4.29,IN,1595361099
Vestmanna,62.16,-7.17,11.0,81,0,4.6,FO,1595361108
Chingirlau,51.09,54.08,20.76,65,100,1.27,KZ,1595361100
Impfondo,1.64,18.07,23.55,68,12,0.82,CG,1595361352
Owensboro,37.77,-87.11,32.78,66,75,4.1,US,1595361353
Iquique,-20.22,-70.14,18.0,59,75,5.1,CL,1595361144
Takoradze,4.88,-1.76,24.4,90,95,3.91,GH,1595361249
Eureka,40.8,-124.16,20.0,77,90,2.1,US,1595361150
Lac du Bonnet,50.25,-96.06,25.0,78,100,1.34,CA,1595361101
Magadan,59.57,150.8,13.98,74,100,2.49,RU,1595361250
Puerto Suárez,-18.95,-57.8,33.0,29,0,5.7,BO,1595361353
Baykit,61.67,96.37,11.52,74,100,1.21,RU,1595361101
Moussoro,13.64,16.49,32.8,40,43,1.02,TD,1595361102
Vestmannaeyjar,63.44,-20.27,11.39,79,100,4.19,IS,1595361354
Nouadhibou,20.93,-17.03,25.0,73,0,5.7,MR,1595361102
Labuan,5.28,115.24,26.0,100,20,2.55,MY,1595361354
Bilibino,68.05,166.44,19.64,34,94,0.5,RU,1595361355
Rome,43.21,-75.46,27.22,54,20,2.91,US,1595361259
Namatanai,-3.67,152.43,25.94,85,61,2.77,PG,1595361355
Alofi,-19.06,-169.92,23.0,100,91,2.1,NU,1595361355
Kuito,-12.38,16.93,13.26,39,0,0.92,AO,1595361355
Abrau-Dyurso,44.69,37.59,18.0,88,0,1.0,RU,1595361252
Al Bardīyah,31.76,25.09,23.27,87,0,6.68,LY,1595361356
Zhigalovo,54.81,105.16,11.14,77,0,1.25,RU,1595361356
Mayumba,-3.43,10.66,21.94,90,0,3.31,GA,1595361104
Riyadh,24.69,46.72,40.0,11,7,3.6,SA,1595361295
Fortuna,40.6,-124.16,20.0,77,1,5.1,US,1595361356
Trincomalee,8.57,81.23,28.01,76,100,1.23,LK,1595361357
Omsukchan,62.53,155.8,15.41,50,0,2.45,RU,1595361357
Moorhead,46.87,-96.77,22.0,68,90,3.6,US,1595361357
Pacific Grove,36.62,-121.92,23.33,90,41,0.89,US,1595361102
Kloulklubed,7.04,134.26,26.0,88,75,1.57,PW,1595361358
Makkah al Mukarramah,21.43,39.83,30.81,57,70,3.1,SA,1595361060
Nové Hrady,48.79,14.78,17.22,89,90,0.8,CZ,1595361254
Talpa,28.83,-111.63,34.44,56,0,2.24,MX,1595361358
Gua Musang,4.88,101.96,22.61,92,87,0.57,MY,1595361105
Santa Cruz,30.42,-9.6,23.0,69,0,4.1,MA,1595361359
Santa Maria,-29.68,-53.81,29.0,45,100,2.6,BR,1595361359
Dunedin,-45.87,170.5,4.44,73,40,12.52,NZ,1595361072
Chunoyar,57.45,97.32,12.78,80,82,1.7,RU,1595361360
Kovdor,67.57,30.48,15.63,70,96,1.73,RU,1595361106
Lilongwe,-13.97,33.79,16.33,64,59,2.36,MW,1595361106
Karratha,-20.74,116.85,18.97,66,0,2.2,AU,1595361277
Khāsh,28.22,61.22,21.51,71,0,2.37,IR,1595361106
Hasaki,35.73,140.83,23.0,100,75,2.6,JP,1595361088
Mandalgovi,45.76,106.27,20.88,26,0,2.38,MN,1595361106
Vanderhoof,54.02,-124.02,23.14,48,14,3.7,CA,1595361255
Mitsamiouli,-11.38,43.28,24.86,61,0,3.98,KM,1595361361
Chingola,-12.53,27.88,17.15,48,99,3.79,ZM,1595361361
Ghanzi,-21.57,21.78,11.15,43,0,2.93,BW,1595361256
Najībābād,29.63,78.33,25.26,79,0,0.97,IN,1595361361
Almeirim,-1.52,-52.58,30.7,57,79,0.57,BR,1595361086
Nexø,55.06,15.13,17.0,72,0,9.3,DK,1595361257
Chernyshevskiy,63.01,112.47,10.46,100,100,1.18,RU,1595361108
Mikumi,-7.4,36.98,17.79,71,64,1.09,TZ,1595361257
Yingkou,40.66,122.23,22.17,82,86,2.65,CN,1595361362
Abu Dhabi,24.47,54.37,39.0,60,9,2.1,AE,1595360897
Marzuq,14.4,46.47,28.55,52,100,4.15,YE,1595361362
Sault Ste. Marie,46.52,-84.33,23.0,49,40,2.1,CA,1595361274
Alta Floresta,-9.88,-56.09,35.0,23,0,1.0,BR,1595361362
Yangambi,0.81,24.43,24.22,74,100,0.9,CD,1595361363
Morón,-34.65,-58.62,14.44,100,90,3.1,AR,1595361363
Leon Valley,29.5,-98.62,36.11,44,40,2.6,US,1595361259
